Date,Open,High,Low,Close
19460221,17.719999,17.719999,17.719999,17.719999
19460225,16.91,16.91,16.91,16.91
19460226,16.809999,16.809999,16.809999,16.809999
19460227,17.15,17.15,17.15,17.15
19460228,17.280001,17.280001,17.280001,17.280001
19460301,17.209999,17.209999,17.209999,17.209999
19460304,17.09,17.09,17.09,17.09
19460305,17.27,17.27,17.27,17.27
19460306,17.190001,17.190001,17.190001,17.190001
19460307,17.34,17.34,17.34,17.34
19460308,17.49,17.49,17.49,17.49
19460311,17.379999,17.379999,17.379999,17.379999
19460312,17.42,17.42,17.42,17.42
19460313,17.15,17.15,17.15,17.15
19460314,17.09,17.09,17.09,17.09
19460315,17.280001,17.280001,17.280001,17.280001
19460318,17.57,17.57,17.57,17.57
19460319,17.450001,17.450001,17.450001,17.450001
19460320,17.58,17.58,17.58,17.58
19460321,17.700001,17.700001,17.700001,17.700001
19460322,17.700001,17.700001,17.700001,17.700001
19460325,18.07,18.07,18.07,18.07
19460326,18.059999,18.059999,18.059999,18.059999
19460327,17.950001,17.950001,17.950001,17.950001
19460328,17.93,17.93,17.93,17.93
19460329,18.040001,18.040001,18.040001,18.040001
19460401,18.059999,18.059999,18.059999,18.059999
19460402,18.07,18.07,18.07,18.07
19460403,18.379999,18.379999,18.379999,18.379999
19460404,18.58,18.58,18.58,18.58
19460405,18.540001,18.540001,18.540001,18.540001
19460408,18.620001,18.620001,18.620001,18.620001
19460409,18.879999,18.879999,18.879999,18.879999
19460410,18.809999,18.809999,18.809999,18.809999
19460411,18.77,18.77,18.77,18.77
19460412,18.77,18.77,18.77,18.77
19460415,18.620001,18.620001,18.620001,18.620001
19460416,18.870001,18.870001,18.870001,18.870001
19460417,18.84,18.84,18.84,18.84
19460418,18.9,18.9,18.9,18.9
19460422,18.879999,18.879999,18.879999,18.879999
19460423,18.84,18.84,18.84,18.84
19460424,18.65,18.65,18.65,18.65
19460425,18.540001,18.540001,18.540001,18.540001
19460426,18.58,18.58,18.58,18.58
19460429,18.719999,18.719999,18.719999,18.719999
19460430,18.76,18.76,18.76,18.76
19460501,18.709999,18.709999,18.709999,18.709999
19460502,18.620001,18.620001,18.620001,18.620001
19460503,18.459999,18.459999,18.459999,18.459999
19460506,18.26,18.26,18.26,18.26
19460507,18.51,18.51,18.51,18.51
19460508,18.469999,18.469999,18.469999,18.469999
19460509,18.440001,18.440001,18.440001,18.440001
19460510,18.74,18.74,18.74,18.74
19460513,18.790001,18.790001,18.790001,18.790001
19460514,18.67,18.67,18.67,18.67
19460515,18.530001,18.530001,18.530001,18.530001
19460516,18.639999,18.639999,18.639999,18.639999
19460517,18.6,18.6,18.6,18.6
19460520,18.639999,18.639999,18.639999,18.639999
19460521,18.68,18.68,18.68,18.68
19460522,18.799999,18.799999,18.799999,18.799999
19460523,18.780001,18.780001,18.780001,18.780001
19460524,18.780001,18.780001,18.780001,18.780001
19460527,18.92,18.92,18.92,18.92
19460528,19.200001,19.200001,19.200001,19.200001
19460529,19.25,19.25,19.25,19.25
19460531,19.18,19.18,19.18,19.18
19460603,19.049999,19.049999,19.049999,19.049999
19460604,18.93,18.93,18.93,18.93
19460605,18.82,18.82,18.82,18.82
19460606,18.809999,18.809999,18.809999,18.809999
19460607,18.82,18.82,18.82,18.82
19460610,18.85,18.85,18.85,18.85
19460611,18.65,18.65,18.65,18.65
19460612,18.690001,18.690001,18.690001,18.690001
19460613,18.799999,18.799999,18.799999,18.799999
19460614,18.790001,18.790001,18.790001,18.790001
19460617,18.809999,18.809999,18.809999,18.809999
19460618,18.549999,18.549999,18.549999,18.549999
19460619,18.440001,18.440001,18.440001,18.440001
19460620,18.030001,18.030001,18.030001,18.030001
19460621,18.23,18.23,18.23,18.23
19460624,18.27,18.27,18.27,18.27
19460625,18.139999,18.139999,18.139999,18.139999
19460626,18.110001,18.110001,18.110001,18.110001
19460627,18.389999,18.389999,18.389999,18.389999
19460628,18.43,18.43,18.43,18.43
19460701,18.540001,18.540001,18.540001,18.540001
19460702,18.530001,18.530001,18.530001,18.530001
19460703,18.49,18.49,18.49,18.49
19460705,18.43,18.43,18.43,18.43
19460708,18.360001,18.360001,18.360001,18.360001
19460709,18.459999,18.459999,18.459999,18.459999
19460710,18.49,18.49,18.49,18.49
19460711,18.389999,18.389999,18.389999,18.389999
19460712,18.27,18.27,18.27,18.27
19460715,17.950001,17.950001,17.950001,17.950001
19460716,17.969999,17.969999,17.969999,17.969999
19460717,18.07,18.07,18.07,18.07
19460718,18.040001,18.040001,18.040001,18.040001
19460719,17.98,17.98,17.98,17.98
19460722,17.93,17.93,17.93,17.93
